rank_unique,rank_unique_cleaned
第二百零八名,二百零八
第二百零九名,二百零九
山西鄉試第二十名,二十
第二百十三名,二百十三
第二百一十名,二百一十
四川鄉試第六十八名,六十八
第二百一十一名,二百一十一
第三百三十六名,三百三十六
第二百一十二名,二百一十二
第二百二十八名,二百二十八
第二百一十三名,二百一十三
應天府鄉試第八十四名,八十四
第二百五十八名,二百五十八
湖廣鄉試第二十四名,二十四
江西鄉試第四十二名,四十二
浙江鄉試第二十名,二十
應天府鄉試第三十八名,三十八
浙江鄉試第二十二名,二十二
順天府鄉試第七十一名,七十一
湖廣鄉試第六十五名,六十五
應天府鄉試第三十二名,三十二
山東鄉試第十四名,十四
湖廣鄉試第八十九名,八十九
廣東鄉試第三十五名,三十五
應天府鄉試第六十二名,六十二
江西鄉試第三十二名,三十二
應天府鄉試第一百五十名,一百五十
江西鄉試第九十一名,九十一
四川鄉試第七名,七
湖廣鄉試第十五名,十五
順天府鄉試第九十二名,九十二
福建鄉試第二十四名,二十四
順天府鄉試第一百三十六名,一百三十六
浙江鄉試第一百三名,一百三
應天府鄉試第三十一名,三十一
福建鄉試第一百十五名,一百十五
湖廣鄉試第四十名,四十
福建鄉試第十六名,十六
浙江鄉試第九十七名,九十七
浙江鄉試第一百十名,一百十
應天府鄉試第七十五名,七十五
河南鄉試第三十七名,三十七
雲南鄉試第十三名,十三
順天府鄉試第一百三十三名,一百三十三
廣東鄉試第三十四名,三十四
順天府鄉試第一百六十二名,一百六十二
應天府鄉試第九十八名,九十八
第二百五十二名,二百五十二
江西鄉試第二十六名,二十六
福建鄉試第一百二十一名,一百二十一
應天府鄉試第五十三名,五十三
應天府鄉試第一百二十八名,一百二十八
江西鄉試第七十七名,七十七
順天府鄉試第一百五十二名,一百五十二
順天府鄉試第九十九名,九十九
江西鄉試第一百三十五名,一百三十五
福建鄉試第一百八名,一百八
順天府鄉試第一百十五名,一百十五
四川鄉試第三十八名,三十八
第二百十六名,二百十六
江西鄉試第二十四名,二十四
應天府鄉試第一百六十一名,一百六十一
順天府鄉試第三十二名,三十二
江西鄉試第六十六名,六十六
四川鄉試第二十四名,二十四
四川鄉試第二十九名,二十九
山西鄉試第六名,六
江西鄉試第五十一名,五十一
順天府鄉試第三十八名,三十八
順天府鄉試第八十三名,八十三
福建鄉試第四十四名,四十四
四川鄉試第四名,四
應天府鄉試第十九名,十九
江西鄉試第九十五名,九十五
福建鄉試第七十名,七十
浙江鄉試第一百二十二名,一百二十二
應天府鄉試第一百五名,一百五
浙江鄉試第二名,二
廣西鄉試第四名,四
浙江鄉試第一百三十九名,一百三十九
江西鄉試第四十三名,四十三
浙江鄉試第九十八名,九十八
浙江鄉試第四十一名,四十一
應天府鄉試第五名,五
順天府鄉試第六十六名,六十六
河南鄉試第八名,八
第二百十九名,二百十九
河南鄉試第六十五名,六十五
廣東鄉試第六十六名,六十六
順天府鄉試第一百三十八名,一百三十八
第二百四十四名,二百四十四
應天府鄉試第六十一名,六十一
四川鄉試第四十八名,四十八
江西鄉試第一百二十四名,一百二十四
河南鄉試第八十七名,八十七
廣東鄉試第四十八名,四十八
四川鄉試第五十一名,五十一
江西鄉試第六十二名,六十二
四川鄉試第三十一名,三十一
浙江鄉試第二十三名,二十三
浙江鄉試第四十九名,四十九
河南鄉試第九十五名,九十五
湖廣鄉試第二十六名,二十六
順天府鄉試第五十四名,五十四
應天府鄉試第七十四名,七十四
河南鄉試第九十三名,九十三
順天府鄉試第六十四名,六十四
河南鄉試第九十名,九十
福建鄉試第五十八名,五十八
山東鄉試第五十□名,
河南鄉試第十九名,十九
順天府鄉試第一百六十七名,一百六十七
湖廣鄉試第九十名,九十
浙江鄉試第二十一名,二十一
湖廣鄉試第一百二十名,一百二十
順天府鄉試第九十六名,九十六
雲南鄉試第十六名,十六
應天府鄉試第六十六名,六十六
福建鄉試第三十四名,三十四
浙江鄉試第十四名,十四
順天府鄉試第五十六名,五十六
湖廣鄉試第九十九名,九十九
山西鄉試第七名,七
順天府鄉試第十六名,十六
山西鄉試第五十九名,五十九
陝西鄉試第六十二名,六十二
四川鄉試第三十七名,三十七
陝西鄉試第二十九名,二十九
順天府鄉試第三十三名,三十三
山東鄉試第六十九名,六十九
山東鄉試第五十九名,五十九
福建鄉試第二十三名,二十三
山東鄉試第七十三名,七十三
江西鄉試第一百三名,一百三
山西鄉試第六十八名,六十八
浙江鄉試第七十九名,七十九
應天府鄉試第一百四十九名,一百四十九
順天府鄉試第一百二十七名,一百二十七
第二百七名,二百七
順天府鄉試第二百七名,二百七
福建鄉試第一百二名,一百二
福建鄉試第九十二名,九十二
湖廣鄉試第三十二名,三十二
順天府鄉試第二百五名,二百五
河南鄉試第七十六名,七十六
應天府鄉試第九名,九
應天府鄉試第一百十名,一百十
順天府鄉試第四名,四
山西鄉試第六十六名,六十六
山東鄉試第十八名,十八
福建鄉試第六十三名,六十三
順天府鄉試第三十九名,三十九
江西鄉試第一百十一名,一百十一
廣東鄉試第五十名,五十
山東鄉試第二十一名,二十一
廣東鄉試第一百十六名,一百十六
廣西鄉試第一名,一
順天府鄉試第一百三十二名,一百三十二
山西鄉試第三十六名,三十六
雲南鄉試第三十五名,三十五
四川鄉試第四十名,四十
湖廣鄉試第三十名,三十
第三百五十三名,三百五十三
順天府鄉試第一百九十八名,一百九十八
四川鄉試第六十五名,六十五
順天府鄉試第二百二十五名,二百二十五
廣西鄉試第二十七名,二十七
江西鄉試第五十四名,五十四
河南鄉試第四十二名,四十二
山東鄉試第十九名,十九
陝西鄉試第四十二名,四十二
浙江鄉試第三十一名,三十一
應天府鄉試第一百八十名,一百八十
山西鄉試第四十二名,四十二
廣東鄉試第十九名,十九
順天府鄉試第二百四十二名,二百四十二
河南鄉試第九十二名,九十二
順天府鄉試第一百五十四名,一百五十四
浙江鄉試第八十七名,八十七
廣東鄉試第九十一名,九十一
四川鄉試第二十七名,二十七
應天府鄉試第二十七名,二十七
山東鄉試第二十名,二十
江西鄉試第五十八名,五十八
湖廣鄉試第七十三名,七十三
廣東鄉試第八十九名,八十九
河南鄉試第三十六名,三十六
福建鄉試第五十九名,五十九
四川鄉試第六十四名,六十四
雲南鄉試第八名,八
順天府鄉試第一百六十六名,一百六十六
廣東鄉試第十七名,十七
四川鄉試第十八名,十八
福建鄉試第六十二名,六十二
順天府鄉試第四十二名,四十二
山東鄉試第四十三名,四十三
順天府鄉試第十二名,十二
應天府鄉試第十一名,十一
四川鄉試第六十二名,六十二
順天府鄉試第一百二十三名,一百二十三
廣東鄉試第十二名,十二
河南鄉試第五十四名,五十四
四川鄉試第五十三名,五十三
福建鄉試第七十二名,七十二
雲南鄉試第五十一名,五十一
應天府鄉試第一百四十名,一百四十
廣東鄉試第五十四名,五十四
應天府鄉試第三十三名,三十三
陝西鄉試第三十九名,三十九
應天府鄉第一百七十五名,一百七十五
四川鄉試第八十三名,八十三
福建鄉試第四十名,四十
順天府鄉試第四十六名,四十六
河南鄉試第四十七名,四十七
湖廣鄉試第一百四名,一百四
順天府鄉試第八十五名,八十五
山西鄉試第七十九名,七十九
湖廣鄉試第八十四名,八十四
山東鄉試第一百五名,一百五
河南鄉試第七十一名,七十一
河南鄉試第四十四名,四十四
雲南鄉試第十五名,十五
浙江鄉試第七十六名,七十六
應天府鄉試第一百三十三名,一百三十三
福建鄉試第一名,一
應天府鄉試第七十九名,七十九
浙江鄉試第四十七名,四十七
順天府鄉試第一百五十五名,一百五十五
江西鄉試第一百四十一名,一百四十一
河南鄉試第二十四名,二十四
浙江鄉試第二十五名,二十五
應天府鄉試第一百四十一名,一百四十一
順天府鄉試第一百二十九名,一百二十九
順天府鄉試第一百九十三名,一百九十三
順天府鄉試第七十名,七十
浙江鄉試第六十一名,六十一
浙江鄉試第一百二名,一百二
廣東鄉試第四名,四
應天府鄉試第七十六名,七十六
山東鄉試第四十六名,四十六
應天府鄉試第七十七名,七十七
河南鄉試第三十八名,三十八
山西鄉試第二十四名,二十四
山西鄉試第八十八名,八十八
浙江試第六十七名,六十七
四川鄉試第五十九名,五十九
福建鄉試第十一名,十一
順天府鄉試第三十四名,三十四
順天府鄉試第二十九名,二十九
應天府鄉試第八十一名,八十一
陝西鄉試第四十九名,四十九
江西鄉試第九十二名,九十二
順天府鄉試第一百十二名,一百十二
河南鄉試第八十六名,八十六
福建鄉試第八十五名,八十五
山東鄉試第六十八名,六十八
福建鄉試第十九名,十九
江西鄉試第九十三名,九十三
河南鄉試第六十一名,六十一
山東鄉試第八十八名,八十八
湖廣鄉試第二名,二
河南鄉試第五十二名,五十二
湖廣鄉試第七十五名,七十五
應天府鄉試第一百八十六名,一百八十六
浙江鄉試第三十名,三十
四川鄉試第三十名,三十
雲南鄉試第七名,七
順天府鄉試第十五名,十五
浙江鄉試第四十名,四十
順天府鄉試第二百四十六名,二百四十六
浙江鄉試第三十二名,三十二
山東鄉試第七十七名,七十七
順天府鄉試第二百十九名,二百十九
山西鄉試第三十名,三十
湖廣鄉試第七十七名,七十七
河南鄉試第十三名,十三
江西鄉試第十三名,十三
應天府鄉試第一百名,一百
河南鄉試第四十三名,四十三
順天府鄉試第三十五名,三十五
山東鄉試第二十八名,二十八
順天府鄉試第二百二十八名,二百二十八
廣西鄉試第六名,六
陝西鄉試第四十六名,四十六
江西鄉試第一百六十一名,一百六十一
福建鄉試第九十名,九十
順天府鄉試第三十一名,三十一
浙江鄉試第六十七名,六十七
河南鄉試第五十名,五十
應天府鄉試第五十四名,五十四
順天府鄉試第一百十六名,一百十六
湖廣鄉試第七十九名,七十九
福建鄉試第十七名,十七
陝西鄉試第二十四名,二十四
山西鄉試第十九名,十九
廣東鄉試第六名,六
順天府鄉試第五十九名,五十九
山西鄉試第五名,五
順天府鄉試第一百十名,一百十
湖廣鄉試第一百三十四名,一百三十四
河南鄉試第十名,十
陝西鄉試第十一名,十一
雲南鄉試第一名,一
河南鄉試第十五名,十五
江西鄉試第七十一名,七十一
順天府鄉試第四十四名,四十四
福建鄉試第一百六名,一百六
浙江鄉試第八十八名,八十八
湖廣鄉試第八十八名,八十八
應天府鄉試第八十名,八十
第六十□名,
湖廣鄉試第四名,四
順天府鄉試第一百二十二名,一百二十二
第五□□名,
福建鄉試第八十三名,八十三
廣東鄉試第三十七名,三十七
江西鄉試第八十三名,八十三
浙江鄉試第八十二名,八十二
□,
應天府鄉試第二十六名,二十六
四川鄉試第六十九名,六十九
江西鄉試第七十名,七十
順天府鄉試第第九十八名,九十八
廣東鄉試第六十一名,六十一
第二百三十□名,
河南鄉試第六十六名,六十六
江西鄉試第□名,
第一百二十四,一百二十四
山東鄉試第五十四名,五十四
河南鄉試第七十八名,七十八
雲南鄉試第二名,二
四川鄉試第八十六名,八十六
浙江鄉試第十六名,十六
第一百七□名,
山東鄉試第三十名,三十
山東鄉試第三十八名,三十八
順天府鄉試第七十六名,七十六
福建鄉試第八十二名,八十二
福建鄉試第三十二名,三十二
第一百□名,
應天府鄉試第一百一十八名,一百一十八
應天府鄉試第一百八十三名,一百八十三
江西鄉試第七十九名,七十九
福建鄉試第七十八名,七十八
福建鄉試第一百十二名,一百十二
江西鄉試第四十八名,四十八
順天府鄉試第二百三十六名,二百三十六
江西鄉試第八十二名,八十二
江西鄉試第八十八名,八十八
江西鄉試第□一名,
山東鄉試第二十七名,二十七
浙江鄉試第三十八名,三十八
福建鄉試第二十七名,二十七
陝西鄉試第四十七名,四十七
順天府鄉試第二百十五名,二百十五
浙江鄉試第九十四名,九十四
順天府鄉試第十九名,十九
順天府鄉試第四十五名,四十五
第一百□十八名,
福建鄉試第四十八名,四十八
山西鄉試第五十七名,五十七
福建鄉試第四十六名,四十六
江西鄉試第五十七名,五十七
江西鄉試第一百二十三名,一百二十三
順天鄉試第五十九名,五十九
江西鄉試第一百六十三名,一百六十三
廣東鄉試第五十八名,五十八
山東鄉試第八十二名,八十二
福建鄉試第七十七名,七十七
陝西鄉試第十名,十
順天府鄉試第一百八十七名,一百八十七
湖廣鄉試第五十名,五十
浙江鄉試第六十名,六十
湖廣鄉試第六十四名,六十四
第一百七十□名,
河南鄉試第三十五名,三十五
應天府鄉試第九十六名,九十六
陝西鄉試第二十七名,二十七
廣東鄉試第七十七名,七十七
福建鄉試第八十七名,八十七
河南鄉試第四十九名,四十九
四川鄉試第九十一名,九十一
山東鄉試第四十八名,四十八
順天府鄉試第二百三十八名,二百三十八
四川第一百一名,一百一
順天府鄉試第一百三十名,一百三十
廣東鄉試第二十名,二十
山西鄉試第二十二名,二十二
應天府鄉試第一百三名,一百三
會試第一百五十一名,一百五十一
順天府鄉試第五十八名,五十八
福建鄉試第五十六名,五十六
山西鄉試第一百名,一百
陝西鄉試第十七名,十七
江西鄉試第二十三名,二十三
福建鄉試第六十一名,六十一
第二□名,
應天府鄉試第一百二十名,一百二十
廣東鄉試第十五名,十五
山西鄉試第二十五名,二十五
順天府鄉試第一百九十一名,一百九十一
湖廣鄉試第六名,六
順天府鄉試第三十名,三十
湖廣鄉試第五十二名,五十二
福建鄉試第十名,十
四川鄉試第三□名,
江西鄉試第四十名,四十
四川鄉試第三十三名,三十三
浙江鄉試第四十五名,四十五
第四十□名,
順天府鄉試第一百十七名,一百十七
順天府鄉試第二十八名,二十八
廣東鄉試第七名,七
第一百二十□名,
山東鄉試第六名,六
山西鄉試第四十七名,四十七
第二百四十□名,
湖廣鄉試第二十七名,二十七
湖廣鄉試第二十九名,二十九
山西鄉試第十四名,十四
應天府鄉試第六十九名,六十九
山東鄉試第六十四名,六十四
四川鄉試第二十六名,二十六
順天府鄉試第一百一名,一百一
山西鄉試第十一名,十一
湖廣鄉試第十七名,十七
福建鄉試第一百三十六名,一百三十六
河南鄉試第四名,四
第二百日四十三名,二百日四十三
廣東鄉試第六十二名,六十二
山西鄉試第五十一名,五十一
山東鄉試第五十八名,五十八
山東鄉試第四十名,四十
山西鄉試第二名,二
山東鄉試第五十六名,五十六
福建鄉試第九十三名,九十三
河南鄉試第□名,
四川鄉試第二十名,二十
應天府鄉試第一百三十九名,一百三十九
第一百□□名,
浙江鄉試第九名,九
廣東鄉試第六十四名,六十四
陝西鄉試第五十五名,五十五
應天府鄉試第一百八名,一百八
福建鄉試第一百三十四名,一百三十四
應天府鄉試第一百五十七名,一百五十七
江西鄉試第二十二名,二十二
山東鄉試第二名,二
應天府鄉試第一百四名,一百四
順天府鄉試第八十七名,八十七
應天府鄉試第三十四名,三十四
四川鄉試第五十名,五十
順天府鄉試第一百二名,一百二
陝西鄉試第四名,四
山東鄉試第五名,五
江西鄉試第三十八名,三十八
應天府鄉試第一百十一名,一百十一
順天府鄉試第二百三十三名,二百三十三
山東鄉試第四十九名,四十九
順天府鄉試第六十二名,六十二
廣西鄉試第十六名,十六
湖廣鄉試第十八名,十八
山西鄉試第三十一名,三十一
江西鄉試第一百九十三名,一百九十三
湖廣鄉試第五十八名,五十八
浙江鄉試第八名,八
浙江鄉試第十九名,十九
陝西鄉試第二十二名,二十二
江西鄉試第七十六名,七十六
順天府鄉試第九十七名,九十七
順天府鄉試第五十一名,五十一
第三百二名,三百二
福建鄉試第三十五名,三十五
廣東鄉試第八名,八
四川鄉試第七十五名,七十五
陝西鄉試第五十一名,五十一
浙江鄉試第七十一名,七十一
順天府鄉試第七十四名,七十四
廣東鄉試第十三名,十三
應天府鄉試第一百七十名,一百七十
山東鄉試第五十二名,五十二
河南鄉試第三十二名,三十二
湖廣鄉試第二十一名,二十一
順天府鄉試第二十三名,二十三
順天府鄉試第四十一名,四十一
福建鄉試第三十八名,三十八
順天府鄉試第九十名,九十
山東鄉試第十二名,十二
應天府鄉試第八十六名,八十六
浙江鄉試第六十五名,六十五
順天府鄉試第一百三十五名,一百三十五
湖廣鄉試第六十名,六十
江西鄉試第九名,九
福建鄉試第八十九名,八十九
廣東鄉試第七十六名,七十六
福建鄉試第四十三名,四十三
廣西鄉試第十五名,十五
山西鄉試第三十九名,三十九
四川鄉試第六十一名,六十一
河南鄉試第八十五名,八十五
山西鄉試第三名,三
福建鄉試第五十名,五十
廣東鄉試第八十二名,八十二
雲南鄉試第十名,十
第三百二十七名,三百二十七
河南鄉試第六十名,六十
第一百三十□名,
福建鄉試第五十七名,五十七
福建鄉試第一百五名,一百五
河南鄉試第五十三名,五十三
山東鄉試第十六名,十六
順天府鄉試第二十名,二十
陝西鄉試第五十八名,五十八
陝西鄉試第二十名,二十
河南鄉試第二十名,二十
福建鄉試第八名,八
江西鄉試第一百六十六名,一百六十六
四川鄉試第一百五名,一百五
應天府鄉試第五十九名,五十九
四川鄉試第五十六名,五十六
福建鄉試第四十七名,四十七
四川鄉試第五十四名,五十四
浙江鄉試第七十五名,七十五
陝西鄉試第五十名,五十
雲南鄉試第四名,四
山東鄉試第四十五名,四十五
山東鄉試第八十六名,八十六
第三百十六名,三百十六
福建鄉試第五名,五
浙江鄉試第六十二名,六十二
河南鄉試第五十一名,五十一
江西鄉試第八十九名,八十九
陝西鄉試第四十五名,四十五
湖廣鄉試第二十三名,二十三
應天府鄉試第四十六名,四十六
四川鄉試第十一名,十一
順天府鄉試第六十八名,六十八
廣東鄉試第三十三名,三十三
河南鄉試第七十三名,七十三
四川鄉試第十五名,十五
山西鄉試第四十三名,四十三
山東鄉試第五十五名,五十五
應天府鄉試第四十名,四十
陝西鄉試第四十八名,四十八
山東鄉試第六十七名,六十七
陝西鄉試第五十四名,五十四
第二百一十四名,二百一十四
廣東鄉試第七十二名,七十二
第二百一十五名,二百一十五
第二百一十七名,二百一十七
第二百一十八名,二百一十八
廣東鄉試第七十一名,七十一
廣東鄉試第六十八名,六十八
第三百十九名,三百十九
廣東鄉試第九十六名,九十六
四川鄉試第二十三名,二十三
江西鄉試第七十四名,七十四
河南鄉試第五十八名,五十八
湖廣鄉試第八名,八
應天府鄉試第十五名,十五
山西鄉試第六十二名,六十二
會試第一百六十九名,一百六十九
應天府鄉試第四十八名,四十八
會試第一名,一
湖廣鄉試第四十八名,四十八
山東鄉試第二十二名,二十二
陝西鄉試第九十五名,九十五
順天府鄉試第七十二名,七十二
江西鄉試第三十六名,三十六
雲南鄉試第十九名,十九
河南鄉試第六十九名,六十九
山西鄉試第二十六名,二十六
福建鄉試第七十四名,七十四
應天鄉試第一百二名,一百二
河南鄉試第六十八名,六十八
浙江鄉試第六十九名,六十九
應天鄉試第一百三十名,一百三十
山西鄉試第四十一名,四十一
四川鄉試第四十二名,四十二
陝西鄉試第九名,九
福建鄉試第二十九名,二十九
陝西鄉試第十二名,十二
山西鄉試第六十名,六十
湖廣鄉試第五十九名,五十九
山東鄉試第二十四名,二十四
福建鄉試第七十五名,七十五
雲南鄉試第二□□□名,
第□□□名,
四川鄉試第五名,五
湖廣鄉試第八十一名,八十一
山東鄉試第六十一名,六十一
應天府鄉試第八十三名,八十三
福建鄉試第六十名,六十
陝西鄉試第八十六名,八十六
河南鄉試第五十五名,五十五
福建鄉試第六十九名,六十九
順天府鄉試第一百六名,一百六
河南鄉試第十八名,十八
山東鄉試第六十二名,六十二
福建鄉試第二十名,二十
廣東鄉試第七十三名,七十三
山東鄉試第三十三名,三十三
湖廣鄉試第五十五名,五十五
應天府鄉試第一百二十九名,一百二十九
浙江鄉試第六十六名,六十六
順天府鄉試第八十四名,八十四
江西鄉試第三十四名,三十四
江西鄉試第八十四名,八十四
山東鄉試第四十七名,四十七
河南鄉試第一十九名,一十九
福建鄉試第二十一名,二十一
福建鄉試第八十名,八十
湖廣鄉試第八十五名,八十五
河南鄉試第七十二名,七十二
河南鄉試第二十三名,二十三
廣東鄉試第五十九名,五十九
河南鄉試第六十二名,六十二
山東鄉試第五十三名,五十三
山東鄉試第六十名,六十
順天鄉試第二十名,二十
四川鄉試第五十五名,五十五
應天府鄉試第一百六名,一百六
江西鄉試第八十名,八十
四川鄉試第三十五名,三十五
湖廣鄉試第七十八名,七十八
順天府鄉試第一百二十名,一百二十
湖廣鄉試第二十二名,二十二
順天府鄉試第四十七名,四十七
河南鄉試第七十名,七十
雲南鄉試第三十名,三十
浙江鄉試第七十名,七十
湖廣鄉試第三十九名,三十九
福建鄉試第四十一名,四十一
浙江鄉試第四十三名,四十三
江西鄉試第八十一名,八十一
山西鄉試第三十五名,三十五
順天府鄉試七十八名,七十八
順天府鄉試第一百一十名,一百一十
湖廣鄉試第四十二名,四十二
山東鄉試第十一名,十一
順天府鄉試第八十八名,八十八
湖廣鄉試第三十八名,三十八
順天鄉試第七名,七
應天鄉試第五名,五
江西鄉試第四十六名,四十六
應天鄉試第二十五名,二十五
浙江鄉試第五十二名,五十二
廣東鄉試第六十五名,六十五
河南鄉試第七名,七
江西鄉試第九十四名,九十四
陝西鄉試第三十二名,三十二
雲南鄉試第十七名,十七
應天府鄉試第一百十二名,一百十二
第二百十一日,二百十一日
浙江鄉試第一百三十四名,一百三十四
應天府鄉試第四十一名,四十一
河南鄉試第五十六名,五十六
應天府鄉試第一百十八名,一百十八
山東鄉試第五十七名,五十七
廣西鄉試第十一名,十一
湖廣鄉試第七十一名,七十一
江西鄉試第六十一名,六十一
山東鄉試第十名,十
山西鄉試第五十名,五十
陝西鄉試第十八名,十八
山西鄉試第四名,四
廣西鄉試第十名,十
山東鄉試第七十四名,七十四
湖廣鄉試第八十名,八十
會試第一百四十名,一百四十
廣西鄉試第二十六名,二十六
順天鄉試第九十七名,九十七
山東鄉試第七十五名,七十五
順天府鄉試第七十八名,七十八
山東鄉試第三十四名,三十四
山西鄉試第十六名,十六
河南鄉試第七十四名,七十四
應天府鄉試第一百一十三名,一百一十三
四川鄉試第四十七名,四十七
湖廣鄉試第四十九名,四十九
湖廣鄉試第十一名,十一
四川鄉試第五十七名,五十七
廣西鄉試第三十九名,三十九
山西鄉試第四十九名,四十九
廣東鄉試第五十三名,五十三
湖廣鄉試第七十二名,七十二
順天府鄉試第一百三十一名,一百三十一
湖廣鄉試第四十六名,四十六
福建鄉試第二十六名,二十六
順天鄉試第三十五名,三十五
山西鄉試第四十八名,四十八
江西鄉試五十七名,五十七
山西鄉試第三十八名,三十八
順天鄉試第六十三名,六十三
廣東鄉試第四十九名,四十九
陜西鄉試第十四名,十四
雲南鄉試第十八名,十八
廣東鄉試第二十九名,二十九
四川鄉試第五十二名,五十二
雲南鄉試第二十六名,二十六
湖廣鄉試第五十七名,五十七
湖廣鄉試第四十三名,四十三
福建鄉試七十一名,七十一
應天府鄉試一百二十三名,一百二十三
河南鄉試第六十七名,六十七
山西鄉試第四十名,四十
江西鄉試第六十名,六十
應天府鄉試第二十九名,二十九
山西鄉試第十二名,十二
福建鄉試第二十五名,二十五
四川鄉試第六十三名,六十三
浙江鄉試邤第四十八名,四十八
江西鄉試第八十五名,八十五
應天府鄉試第一百二名,一百二
江西鄉試第五十名,五十
河南鄉試第四十八名,四十八
廣東鄉試第七十四名,七十四
雲南鄉試第十四名,十四
四川鄉試第九名,九
福建鄉試第七十一名,七十一
山西鄉試第四十四名,四十四
山西鄉試第二十九名,二十九
湖廣鄉試第四十四名,四十四
廣東鄉試第四十四名,四十四
順天府鄉試第一百八名,一百八
浙江鄉試第六十八名,六十八
廣東鄉試第六十九名,六十九
福建鄉試第三十名,三十
福建鄉試第七十六名,七十六
浙江鄉試第三十五名,三十五
陝西鄉試第二名,二
應天府鄉試第六十名,六十
廣東鄉試第五十二名,五十二
順天府鄉試八十六名,八十六
山東鄉試第五十一名,五十一
應天府鄉試第九十四名,九十四
浙江鄉試第五十七名,五十七
應天府鄉試第五十六名,五十六
山東鄉試第十三名,十三
順天府鄉試第一百二十四名,一百二十四
河南鄉試第五十七名,五十七
廣東鄉試第二十一名,二十一
第一百八□□名,
順天府鄉試第七十九名,七十九
廣東鄉試第十□名,
□□□□第□□□名,
第□□名,
四川鄉試第□十八名,
應天鄉試第八十八名,八十八
江西鄉試第□十二名,
陝西鄉試第三十五名,三十五
第□百七十六,
順天鄉試第一百名,一百
第二百四□名,
第十□名,
湖廣鄉試第四十□名,
湖廣鄉試第三十□名,
廣西鄉試第五名,五
山西鄉試第二十三名,二十三
